id	filename	md5	size	state
02a37050-2378-4343-a887-93b2541cddce	02a37050-2378-4343-a887-93b2541cddce/nationwidechildrens.org_clinical.TCGA-DU-A7TI.xml	689450a8c926c61f0dc7b9a54d4849db	56740	validated
02f3ca05-1ca1-4eb7-a075-2fa0b0d80444	02f3ca05-1ca1-4eb7-a075-2fa0b0d80444/nationwidechildrens.org_clinical.TCGA-S9-A7J2.xml	7978cb123656e0573d2b248724e39990	64157	validated
03cfca13-ebde-40c3-8ef5-4eb766d5ed23	03cfca13-ebde-40c3-8ef5-4eb766d5ed23/nationwidechildrens.org_clinical.TCGA-P5-A730.xml	8efda3651e031d6779b4f8bd69bea3c4	30252	validated
0488ef30-1e15-41b7-96ec-910da838438f	0488ef30-1e15-41b7-96ec-910da838438f/nationwidechildrens.org_clinical.TCGA-HT-7474.xml	4294fe18bf8effecc371ffe9c35f6067	30857	validated
04c3587a-5877-40e1-a1c2-49bcbe44d7dd	04c3587a-5877-40e1-a1c2-49bcbe44d7dd/nationwidechildrens.org_clinical.TCGA-TM-A84C.xml	aac198d9beda7b83adc2b05107522e0e	37126	validated
04c4799b-4704-42f5-89c7-aa200e50cac9	04c4799b-4704-42f5-89c7-aa200e50cac9/nationwidechildrens.org_clinical.TCGA-TQ-A7RG.xml	360ab32fc3df1357cd2c8bb8c9eb2b13	30996	validated
0538d04a-2e5d-4654-9f38-ca45c2d10c4b	0538d04a-2e5d-4654-9f38-ca45c2d10c4b/nationwidechildrens.org_clinical.TCGA-HT-A74O.xml	e79197817a2240c68f86b2ea7fff33a2	30473	validated
05f4a446-5874-4b70-b3fe-ecd7ee9d9fb2	05f4a446-5874-4b70-b3fe-ecd7ee9d9fb2/nationwidechildrens.org_clinical_omf_v4.0_lgg.txt	8fbbb938cbea9e5d036f9e962d03a7b6	9142	validated
06435f6f-e3ca-42f2-a6bf-c5c73a885a23	06435f6f-e3ca-42f2-a6bf-c5c73a885a23/nationwidechildrens.org_clinical.TCGA-S9-A7J3.xml	a738c411d0b64d69e3d77351197f2b78	61411	validated
06a33ea2-04a0-457d-9271-94137ae13605	06a33ea2-04a0-457d-9271-94137ae13605/nationwidechildrens.org_clinical.TCGA-CS-6666.xml	36f3b32991ce302f29060145971e4df0	49836	validated
070945f9-8a40-4e60-882c-8b5bef6fc536	070945f9-8a40-4e60-882c-8b5bef6fc536/nationwidechildrens.org_clinical.TCGA-FG-7637.xml	671baaa3e3e0e3063b169b8dd0f3339a	38957	validated
072ea711-5ff5-4cd5-a7b7-2945c2a8c755	072ea711-5ff5-4cd5-a7b7-2945c2a8c755/nationwidechildrens.org_clinical.TCGA-FG-A6IZ.xml	70fb1814d483f304f95a8d979504e27d	35981	validated
07c7e268-00f3-4dd7-9638-5041c73993f7	07c7e268-00f3-4dd7-9638-5041c73993f7/nationwidechildrens.org_clinical.TCGA-S9-A6UB.xml	6dc3baae67dc372127facf5d77a0fad7	54926	validated
0cb7b10b-3aa4-485f-9485-605eb3a17dc4	0cb7b10b-3aa4-485f-9485-605eb3a17dc4/nationwidechildrens.org_clinical.TCGA-TQ-A7RP.xml	116df59086bc4ca8813951fd11bd44c7	31323	validated
0cccb1b4-70e1-46f8-9a32-9b4e20323c34	0cccb1b4-70e1-46f8-9a32-9b4e20323c34/nationwidechildrens.org_clinical.TCGA-DU-7015.xml	7c4f5b598fd24a500510d6ff2b3e177d	54895	validated
0d58574b-0178-4483-996b-ec3cb2035dab	0d58574b-0178-4483-996b-ec3cb2035dab/nationwidechildrens.org_clinical.TCGA-HT-7857.xml	7f185a6410efe36f213dfc247aa235d6	30586	validated
0d5f95e3-eed0-48bd-837a-7faa9e2bfc0d	0d5f95e3-eed0-48bd-837a-7faa9e2bfc0d/nationwidechildrens.org_clinical.TCGA-CS-4943.xml	3703bd80219aa6a27ece3bdb0ca1c8c8	44320	validated
0d638ea9-b592-4cdd-9cec-b9cf82885385	0d638ea9-b592-4cdd-9cec-b9cf82885385/nationwidechildrens.org_clinical.TCGA-P5-A77W.xml	01371538fc3033b725750894902f5736	30161	validated
0d93f83e-ccd0-4fb6-8314-241c65af0d56	0d93f83e-ccd0-4fb6-8314-241c65af0d56/nationwidechildrens.org_clinical.TCGA-HT-7884.xml	e14086a29183fca264fd3769d708336b	47547	validated
0e31b9c0-e95d-43ca-997b-376db2e5477f	0e31b9c0-e95d-43ca-997b-376db2e5477f/nationwidechildrens.org_clinical.TCGA-DU-7007.xml	1db61fe9ab67fa5569a09cfa6f1532be	30216	validated
0eac0d07-9da3-4cbd-9c96-239d64ef1c89	0eac0d07-9da3-4cbd-9c96-239d64ef1c89/nationwidechildrens.org_clinical.TCGA-FG-A6J1.xml	b1a3f71019596cc90a535658e5f949e5	36045	validated
0ee5e8ce-fd58-4716-b2d4-55935f5bb5e4	0ee5e8ce-fd58-4716-b2d4-55935f5bb5e4/nationwidechildrens.org_clinical.TCGA-E1-5304.xml	10a132abea9eabd341dfbb50a88f445d	86134	validated
0f6a2e0e-d190-478b-9155-a107ea89371c	0f6a2e0e-d190-478b-9155-a107ea89371c/nationwidechildrens.org_omf.TCGA-FG-A60K.xml	cbb384bfdeb7924ac543951b4374eff3	11130	validated
1010c4b8-e6fa-4d8f-85bb-491b11ea7db4	1010c4b8-e6fa-4d8f-85bb-491b11ea7db4/nationwidechildrens.org_clinical.TCGA-E1-5322.xml	d63e52e7ad5c85e8d6f9a478e2a7779e	41992	validated
10385d51-c54f-45fb-b86c-c1ccddec8cec	10385d51-c54f-45fb-b86c-c1ccddec8cec/nationwidechildrens.org_clinical.TCGA-HT-8558.xml	fa9156fe9a88e02d01b31d3fec6d6158	30886	validated
109d7c5b-42d1-44c2-95d8-8a87262c5a41	109d7c5b-42d1-44c2-95d8-8a87262c5a41/nationwidechildrens.org_clinical.TCGA-CS-5394.xml	d300e2e01c08077eb89227ef4038a0e0	38004	validated
